Year,Length,Passenger
1977,8139,112607
1978,8139,115665
1979,8132,126563
1980,8193,113938
1981,8193,123714
1982,8156,120291
1983,8373,125253
1984,8400,131442
1985,8400,136354
1986,8401,129352
1987,8439,129909
1988,8430,135706
1989,8430,146359
1990,8429,139089
1991,8429,133243
1992,8430,131252
1993,8430,146318
1994,8452,119533
1995,8549,104635
1996,8607,98315
1997,8607,107053
1998,8607,109774
1999,8682,98931
2000,8671,85343
2001,8671,76323
2002,8671,73088
2003,8697,76993
2004,8697,76756
2005,8697,76306
2006,8697,77414
2007,8697,81260
2008,8699,79187
2009,9080,80092
2010,9594,84173
2011,9642,121190
2012,9642,120646
2013,9718,107646
2014,10087,153600
2015,10131,182759
2016,10131,176631
2017,10207,182790
2018,10315,185010
2019,10378,246013
